Type,Element,Rarity,Tier,LuckValue,Luck,Description,Color,Notes
Item,440.Malorian Overture,2.00,Uncommon,40.62,40.62%,"Cyberpunk 2077 - A heavy-duty, powerful double-action revolver produced by Malorian Arms. This gun is incredibly powerful, even being able to punch a hole in half-borgs with each bullet. You also get 30 bullets every day for it.",#aed1d1,
Item,183. XII - The Hanged Man,1.50,Common,56.25,56.25%,Tarot Card - Allows you to absorb all of the wounds and ailments of a target while lessening their intensity by 20%. 120 Hour Cooldown,#9c7e5a,🔁 Repeated — +1 TP
Item,18. A skeleton,0.10,Trash,100.0,100.00%,An ordinary human skeleton from a completely ordinary person,#a39589,🔁 Repeated — +1 TP
Skill,50. Novice Drawing,1.00,Common,71.88,71.88%,"You are a novice at drawing about as skilled as an art student, while you are noticeably better than people who don't know how to draw, you aren't good enough to become a professional. You will however improve much faster than other people if you choose to train yourself.",#9c7e5a,
Skill,58. Novice Chemistry,1.40,Common,59.38,59.38%,You have the skills and knowledge of a Chemistry Major. You have a decent repertoire of knowledge regarding chemistry and compounds. You know how to make most regular chemicals and know not to drink bleach.,#9c7e5a,
Skill,185.Novice Savoir Faire,1.80,Common,46.88,46.88%,"You know how to move with some relative grace and finesse. You are light on your feet, you know how to dance and how to place your feet so that you don't trip and fall. And if you do fall, you can do so with some semblance of grace.",#9c7e5a,
Skill,50. Novice Drawing,1.00,Common,71.88,71.88%,"You are a novice at drawing about as skilled as an art student, while you are noticeably better than people who don't know how to draw, you aren't good enough to become a professional. You will however improve much faster than other people if you choose to train yourself.",#9c7e5a,🔁 Repeated — +1 TP
Skill,44. Karate,2.40,Uncommon,28.12,28.12%,"You are an apprentice in Karate, A Japanese martial art specializing in powerful strikes, strong stances, and precise technique. With direct, forceful movements using punches, kicks, knee strikes, and blocks to generate maximum impact. Practitioners develop explosive power, speed, and efficiency, making Karate a well-rounded combat skill for both offence and defence. With sufficient mastery, you can enhance your strikes with your internal energy",#aed1d1,
Skill,61. Novice Teaching,1.80,Common,46.88,46.88%,"You are as skilled as a fresh teacher, you know how to impart your knowledge and skills to people well enough but you can't guarantee they will listen or take your lesson to heart.",#9c7e5a,
Skill,49. Novice Cooking,1.30,Common,62.5,62.50%,"You are a novice in the culinary arts, you can cook most basic meals and they will taste good. But don't expect to get a job as a chef. You will however improve much faster than other people if you choose to train yourself.",#9c7e5a,🔁 Repeated — +1 TP
Skill,50. Novice Drawing,1.00,Common,71.88,71.88%,"You are a novice at drawing about as skilled as an art student, while you are noticeably better than people who don't know how to draw, you aren't good enough to become a professional. You will however improve much faster than other people if you choose to train yourself.",#9c7e5a,🔁 Repeated — +1 TP
Skill,72. Novice Medicine,1.50,Common,56.25,56.25%,"You are about as skilled as a doctor in training, you know how to perform first aid, how to apply medicine, what most medicines do, and in a pinch improvise medical tools to perform basic surgery.",#9c7e5a,
Skill,55. Novice Mechanics,1.10,Common,68.75,68.75%,"You are as skilled as a mechanic apprentice, you know how to fix basic appliances and maybe even a car when provided with the right tools. You will however improve much faster than other people if you choose to train yourself.",#9c7e5a,
Trait,60. Poisonous,0.20,Trash,96.88,96.88%,"You are poisonous, meaning if anyone eats your flesh they are going to have a mildly bad time.",#a39589,
Trait,313.Paper Trail,1.80,Common,46.88,46.88%,For some reason you are always carrying the relevant paper or information with you. And so do your familiars apparently. Just reach into your pocket and you can find whatever legal identification you need.,#9c7e5a,
Trait,236. Charming Eyes,1.60,Common,53.12,53.12%,"Not to be confused with the mystical eyes of charming, instead of hypnotizing people your eyes are just really pretty.",#9c7e5a,🔁 Repeated — +1 TP
Trait,97. Minty Breath,0.20,Trash,96.88,96.88%,"No more bad breath, your breath always smells fresh and minty regardless of what you ate beforehand.",#a39589,
Trait,96. Charming Smile,1.30,Common,62.5,62.50%,"Your smile is really charming, helping people feel more at ease and comfortable with you. Or more attractive to women.",#9c7e5a,🔁 Repeated — +1 TP
Trait,4. Digestive Expulsion Independence,0.50,Trash,87.5,87.50%,You never piss or shit. Don't ask where all the waste in your body goes.,#a39589,🔁 Repeated — +1 TP
Trait,132. Golden Shot,1.20,Common,65.62,65.62%,"Your little swimmers are the strongest in the world, any woman you cum inside of WILL get pregnant, even if they are more barren than the arid desserts your semen does not care.",#9c7e5a,🔁 Repeated — +1 TP
Trait,97. Minty Breath,0.20,Trash,96.88,96.88%,"No more bad breath, your breath always smells fresh and minty regardless of what you ate beforehand.",#a39589,🔁 Repeated — +1 TP
Trait,110. Salt Detection,0.10,Trash,100.0,100.00%,"You can tell where salt is, only salt is ready for human consumption.",#a39589,
Trait,96. Charming Smile,1.30,Common,62.5,62.50%,"Your smile is really charming, helping people feel more at ease and comfortable with you. Or more attractive to women.",#9c7e5a,🔁 Repeated — +1 TP
Ability,285.Flash,1.20,Common,65.62,65.62%,"You can emit a bright blinding light from your hands or use it with less intensity for utility, does not work well outside of close range.",#9c7e5a,🔁 Repeated — +1 TP
Ability,★ 619.Lifeblood,4.17,Elite,0.1,0.10%,"Allows you to imbue your blood with your own vitality, those who drink your vitality-infused blood will find themselves healed, the more vitality infused the higher the healing. Imbuing vitality in moderation is harmless but will leave you weakened and exhausted.",#1172d9,✨ Boosted Star Bonus — -37 TP
Ability,76. Dry,0.70,Trash,81.25,81.25%,"Allows you to dry any object you are touching, note that does not evaporate all water particles inside but only gets rid of moisture the object should otherwise not have.",#a39589,
Ability,284.Flashlight,0.40,Trash,90.62,90.62%,"You can emit a beam of moderate-intensity light from your hands, a useful replacement for a flashlight but not useful for much else.",#a39589,🔁 Repeated — +1 TP
Ability,850.Sapling,2.10,Uncommon,37.5,37.50%,"You are able to create, communicate with and control plants in your range. You can make grass grow on fertile dirt, make roots dig through concrete, ripen plants, change their shape slightly, make trees grow fast enough to create natural barriers and harvest the bounty of nature.",#aed1d1,
Ability,49. Heat Palm,1.20,Common,65.62,65.62%,"Unordinary - Allows you to heat up your palms to red-hot levels, only your palms.",#9c7e5a,
Ability,199. Pocket Sand,0.40,Trash,90.62,90.62%,"Conjure and launch a handful of sand from your hands, shouting pocket sand as you do so might make it stronger.",#a39589,
Ability,230.Dowsing,1.60,Common,53.12,53.12%,"Allows you to detect metals around you like a mental radar, the more valuable a metal is, the more distinct its presence in your radar.",#9c7e5a,
Ability,749. Cat Form,2.10,Uncommon,37.5,37.50%,"Allows you to turn into a cat or a cat hybrid at will, granting you night vision, improved balance, and agility as well as any other trait the average mundane house cat would have.",#aed1d1,
Ability,790. Cosmetic Calibration,1.60,Common,53.12,53.12%,"Allows you to change anything about yourself that is purely cosmetic, like the color of your abilities, the color of your hair, the shape of your pupils, the color of your skin, etc.",#9c7e5a,🔁 Repeated — +1 TP
Familiar,178.Darkbeast Paarl,2.40,Uncommon,28.12,28.12%,"Bloodborne - A dark beast that has reanimated itself from the dead. As a large skeletal monster, Paarl is strong enough to demolish walls and is immune to conventional weapons, even high-calibre bullets. In addition, Paarl can generate and release electricity from its body at will.",#aed1d1,🔁 Repeated — +1 TP
